,Bunny_Data,Bunnydist,Humidity,Humidity_Data,LightLevel,Light_Data,Temperature,Temperature_Data
-O1RBYg9A2WHKIuPCuY8,419.31189,419.31189,70.3,76.5,38.51038,46.49573,31.9,30.5
-O1RBksjEakAEIDnfoYC,419.31189,419.31189,70.3,76.5,38.51038,46.25153,31.9,30.4
-O1RBzHitNF_3IGx2CRh,419.31189,419.31189,70.3,76.6,38.51038,46.47131,31.9,30.3
-O1RCBUaWf4Ubw9hW5vI,8.19169,419.31189,70.3,76.6,38.51038,87.35043,31.9,30.3
-O1RCPHtYIFRlxjcMfdE,419.31189,419.31189,70.3,76.9,38.51038,83.12576,31.9,30.3
-O1RCcHTT2FGCSDrDy2q,419.31189,419.31189,70.3,76.3,38.51038,83.15018,31.9,30.3
-O1RCsvnIWH1VNTMKeX_,419.31189,419.31189,70.3,76.2,38.51038,83.07693,31.9,30.4
-O1RD6IHA7P_ZAnisYge,6.75814,419.31189,70.3,76.1,38.51038,82.51527,31.9,30.4
-O1RDGUiF1RxUgvbhgVJ,419.31189,419.31189,70.3,76.1,38.51038,43.76068,31.9,30.4
-O1RDUI5Fvv3Aq6tnVf0,419.31189,419.31189,70.3,76.3,38.51038,44.10257,31.9,30.4
-O1RDgd5sSbLMjPkqKo2,419.31189,419.31189,70.3,76.0,38.51038,43.93163,31.9,30.4
-O1RDvHk5BK1YGyG4z78,8.49887,419.31189,70.3,75.9,38.51038,82.63737,31.9,30.5
-O1REBtaLKCBw6fZmIoD,419.31189,419.31189,70.3,75.7,38.51038,43.22344,31.9,30.5
-O1REQtKb2zty9nyBOLC,419.31189,419.31189,70.3,75.5,38.51038,43.32113,31.9,30.5
-O1REh5gug2JasJeA_2S,419.31189,419.31189,70.3,75.4,38.51038,43.36996,31.9,30.4
-O1REmHqvTQX8ZrNpzL8,419.31189,419.31189,70.3,75.3,38.51038,43.24786,31.9,30.5
-O1REz5B-xX79xZICJbr,419.31189,419.31189,70.3,75.2,38.51038,43.22344,31.9,30.5
-O1RFBtgRADRHNUsE8-m,419.31189,419.31189,70.3,75.0,38.51038,43.32113,31.9,30.5
-O1RFPguZUlBoyz5KSxy,419.31189,419.31189,70.3,74.9,38.51038,43.22344,31.9,30.5
-O1RFcI7PqGwmsskM62I,419.31189,419.31189,70.3,74.7,38.51038,43.36996,31.9,30.5
-O1RFp5RMDn6sPOc5u2w,419.31189,419.31189,70.3,74.8,38.51038,43.36996,31.9,30.5
-O1RG1gJYV4kciojulLv,419.31189,419.31189,70.3,74.9,38.51038,43.36996,31.9,30.5
-O1RGG5GMMqd3b3bpzoF,419.31189,419.31189,70.3,74.9,38.51038,43.32113,31.9,30.5
-O1RGT5CQBO6ae0uoE6c,419.31189,419.31189,70.3,74.7,38.51038,43.36996,31.9,30.5
-O1RGfHaP_V1uhqC3SJs,419.31189,419.31189,70.3,74.7,38.51038,43.32113,31.9,30.5
-O1RGu53Udj3BFayYGkj,419.31189,419.31189,70.3,74.5,38.51038,43.36996,31.9,30.5
-O1RH7UwPOqAXpZ1MH7w,419.31189,419.31189,70.3,74.6,38.51038,43.02808,31.9,30.5
-O1RHJgV-CU4WnDBRaWL,419.31189,419.31189,70.3,74.6,38.51038,43.24786,31.9,30.4
-O1RHXhNCHQFFn_wEh3V,419.31189,419.31189,70.3,74.7,38.51038,43.24786,31.9,30.4
-O1RHjt7BPs9nc_s86Wf,419.31189,419.31189,70.3,74.8,38.51038,43.36996,31.9,30.4
-O1RHyHb6zXPKi3Y_jsC,419.31189,419.31189,70.3,74.9,38.51038,43.32113,31.9,30.5
-O1RIAILLRRFj_FTHXgu,419.31189,419.31189,70.3,74.9,38.51038,43.24786,31.9,30.5
-O1RIOHlDq0sjvxM19sm,419.31189,419.31189,70.3,74.9,38.51038,43.22344,31.9,30.5
-O1RIateGUyaErbqwNyW,419.31189,419.31189,70.3,74.9,38.51038,43.32113,31.9,30.5
-O1RIogez0c880rc2AES,419.31189,419.31189,70.3,75.0,38.51038,43.34554,31.9,30.5
-O1RJ0gXoUd9wZMN3sHl,419.31189,419.31189,70.3,74.9,38.51038,43.2967,31.9,30.5
-O1RJFBnrUFmNG-kpj4G,419.31189,419.31189,70.3,74.8,38.51038,43.2967,31.9,30.6
-O1RJSIEMy3GjzebxdAl,419.31189,419.31189,70.3,74.8,38.51038,43.2967,31.9,30.6
-O1RJg5-ikOWU9WmWjoB,419.31189,419.31189,70.3,74.9,38.51038,43.34554,31.9,30.6
-O1RJsuDbZMIV4OU1BJ_,419.31189,419.31189,70.3,75.0,38.51038,43.2967,31.9,30.6
-O1RK6gtbGgNsELU0eBp,419.31189,419.31189,70.3,75.0,38.51038,43.36996,31.9,30.6
-O1RKJ5FHHaM7z-5RQl3,419.31189,419.31189,70.3,75.1,38.51038,43.24786,31.9,30.6
-O1RKXgvFpasSh8DcMKs,419.31189,419.31189,70.3,75.1,38.51038,43.12576,31.9,30.6
-O1RKkh2Zn2zM1xmnZtY,419.31189,419.31189,70.3,75.2,38.51038,43.34554,31.9,30.5
-O1RKxtr5vOeo4OP-6a-,419.31189,419.31189,70.3,75.3,38.51038,43.32113,31.9,30.5
-O1RLC5KM7t7oPi2pbeC,419.31189,419.31189,70.3,75.5,38.51038,43.36996,31.9,30.5
-O1RLNhAhtJQKZL_XSWY,419.31189,419.31189,70.3,75.5,38.51038,43.36996,31.9,30.5
-O1RLa5MHNTsNM8EmLHy,419.31189,419.31189,70.3,75.4,38.51038,43.2967,31.9,30.6
-O1RLoVAQP2-XXoTEglg,419.31189,419.31189,70.3,75.4,38.51038,43.19902,31.9,30.6
-O1RM259EXrdk9TzvTOn,419.31189,419.31189,70.3,75.4,38.51038,43.12576,31.9,30.6
-O1RMEO0OO9zSsNf44Rl,419.31189,419.31189,70.3,75.6,38.51038,43.19902,31.9,30.5
-O1RMSIReN1WIe9s9Bhy,419.31189,419.31189,70.3,75.6,38.51038,43.0525,31.9,30.5
-O1RMgh9Irwbfwau3oBu,419.31189,419.31189,70.3,75.5,38.51038,43.22344,31.9,30.5
-O1RMthQeyxH2bI1_A0l,419.31189,419.31189,70.3,75.6,38.51038,43.24786,31.9,30.5
-O1RN55bupPXoyRbXJ8j,419.31189,419.31189,70.3,75.6,38.51038,43.19902,31.9,30.5
-O1RNIIp-oZPNlBnA7QL,419.31189,419.31189,70.3,75.7,38.51038,43.34554,31.9,30.5
-O1RNX5JeTOfvqImP-zS,419.31189,419.31189,70.3,75.6,38.51038,43.2967,31.9,30.5
-O1RNjIJEmPN6NwydonW,419.31189,419.31189,70.3,75.8,38.51038,43.10135,31.9,30.5
-O1RNwI1mHhr6ubi5sXd,419.31189,419.31189,70.3,75.8,38.51038,43.22344,31.9,30.5
-O1RO8gUX5uwjR3wcGdD,419.31189,419.31189,70.3,75.8,38.51038,43.2967,31.9,30.5
-O1RONItlRcGda0fns0K,419.31189,419.31189,70.3,75.8,38.51038,43.4188,31.9,30.6
-O1RO_h3X5eC-YL5LFty,419.31189,419.31189,70.3,75.7,38.51038,43.12576,31.9,30.6
-O1ROnI79fxNPe3Flzrs,419.31189,419.31189,70.3,75.7,38.51038,43.32113,31.9,30.6
-O1RP0trDH_SYUa-cXqJ,419.31189,419.31189,70.3,75.7,38.51038,43.34554,31.9,30.6
-O1RPE5Z9Ps1CkbAKPqR,419.31189,419.31189,70.3,75.7,38.51038,43.15018,31.9,30.6
-O1RPRVHh4dKiCWujQWF,419.31189,419.31189,70.3,75.6,38.51038,43.24786,31.9,30.6
-O1RPdtr-K7XrMryoD4Y,419.31189,419.31189,70.3,75.7,38.51038,43.2967,31.9,30.6
-O1RPrIyk-aolPEmzioA,419.31189,419.31189,70.3,75.7,38.51038,43.36996,31.9,30.6
-O1RQ4V_1IOA3ZI1oWVV,419.31189,419.31189,70.3,75.7,38.51038,43.36996,31.9,30.6
